,template_name,task_type,filename,original_template,human_translation,gpt_few_shot,gpt_one_shot,gpt_zero_shot,mistral_few_shot,mistral_zero_shot
0,context_answer_to_question,question generation,cosmos_qa.yaml,"Based on the context and the answer, generate a question. 

Context: {{context}}

Answer:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}","Basandoti sul contesto e sulla risposta, genera una domanda.

Contesto: {{context}}

Risposta:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}","Basato sul contesto e sulla risposta, genera una domanda.

Contesto: {{context}}

Risposta:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}","Basato sul contesto e sulla risposta, genera una domanda.

Contesto: {{context}}

Risposta:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}","Basato sul contesto e sulla risposta, genera una domanda.

Contesto: {{context}}

Risposta:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}","In base al contesto e alla risposta, genera una domanda.
Contesto: {{context}}

Risposta:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}","In base al contesto e alla risposta, genera una domanda.

Contesto: {{context}}

Risposta:
{% if label == 0 %}
{{answer0}}
{% elif label == 1 %}
{{answer1}}
{% elif label == 2 %}
{{answer2}}
{% elif label == 3 %}
{{answer3}}
{% endif %}
|||
{{question}}"
1,description_context_question_answer_text,multiple-choice question answering,cosmos_qa.yaml,"Read the following context and choose the best option to answer the question.
Context: {{ context }}
Question: {{ question }}
Options: 
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli l'opzione migliore per rispondere alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Opzioni: 
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli la migliore opzione per rispondere alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Opzioni:  
- {{ answer_choices | join(""\n - "") }}  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli la migliore opzione per rispondere alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Opzioni:  
- {{ answer_choices | join(""\n - "") }}  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli la migliore opzione per rispondere alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Opzioni:  
- {{ answer_choices | join(""\n - "") }}  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli l'opzione migliore per rispondere alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Opzioni: 
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli la migliore opzione per rispondere alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Opzioni:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}"
2,description_context_question_text,question answering without choices,cosmos_qa.yaml,"Read the following context and answer the question.
Context: {{ context }}
Question: {{ question }}
Answer:
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e rispondi alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Risposta:
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e rispondi alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Risposta:  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e rispondi alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Risposta:  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e rispondi alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Risposta:  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e rispondi alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Risposta:
|||
{{ answer_choices[label] }}","Leggi il contesto seguente e rispondi alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Risposta:
|||
{{ answer_choices[label] }}"
3,description_context_question_answer_id,multiple-choice question answering,cosmos_qa.yaml,"Read the following context and choose the best option to answer the question.
Context: {{ context }}
Question: {{ question }}
Options: 
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli l'opzione migliore per rispondere alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Opzioni: 
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli la migliore opzione per rispondere alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Opzioni:  
A. {{ answer0 }}  
B. {{ answer1 }}  
C. {{ answer2 }}  
D. {{ answer3 }}  
|||  
{{ answer_choices[label] }}","Leggi il contesto seguente e scegli la migliore opzione per rispondere alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Opzioni:  
A. {{ answer0 }}  
B. {{ answer1 }}  
C. {{ answer2 }}  
D. {{ answer3 }}  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli la migliore opzione per rispondere alla domanda.  
Contesto: {{ context }}  
Domanda: {{ question }}  
Opzioni:  
A. {{ answer0 }}  
B. {{ answer1 }}  
C. {{ answer2 }}  
D. {{ answer3 }}  
|||  
{{ answer_choices[label] }}","Leggi il seguente contesto e scegli l'opzione migliore per rispondere alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","Leggi il contesto seguente e scegli la migliore opzione per rispondere alla domanda.
Contesto: {{ context }}
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}"
4,context_description_question_answer_text,multiple-choice question answering,cosmos_qa.yaml,"{{ context }}
According to the above context, choose the best option to answer the following question.
Question: {{ question }}
Options:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}","{{ context }}
In base al contesto in alto, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}","{{ context }}
Secondo il contesto sopra, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}","{{ context }}
Secondo il contesto sopra, scegli la migliore opzione per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}","{{ context }}
Secondo il contesto sopra, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}","{{ context }}
In base al contesto precedente, scegli l'opzione migliore per rispondere alla domanda seguente.
Domanda: {{ question }}
Opzioni:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}","{{ context }}
In base al contesto sopra indicato, scegli la risposta migliore per rispondere alla domanda seguente.
Domanda: {{ question }}
Opzioni:
- {{answer_choices | join(""\n - "")}}
|||
{{answer_choices[label]}}"
5,no_prompt_id,multiple-choice question answering,cosmos_qa.yaml,"{{ context }}
{{ question }}
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
A. {{ answer0 | translate }}
B. {{ answer1 | translate }}
C. {{ answer2 | translate }}
D. {{ answer3 | translate }}
|||
{{ answer_choices[label] }}"
6,context_question_description_text,question answering without choices,cosmos_qa.yaml,"{{ context }}
Question: {{ question }}
The answer to the above question:
|||
{{ answer_choices[label] }}","{{ context }}
Domanda: {{ question }}
Risposta alla domanda in alto:
|||
{{ answer_choices[label] }}","{{ context }}
Domanda: {{ question }}
La risposta alla domanda sopra:
|||
{{ answer_choices[label] }}","{{ context }}
Domanda: {{ question }}
La risposta alla domanda sopra:
|||
{{ answer_choices[label] }}","{{ context }}
Domanda: {{ question }}
La risposta alla domanda sopra:
|||
{{ answer_choices[label] }}","Contesto: {{ context }}
Domanda: {{ question }}
La risposta alla domanda precedente:
|||
{{ answer_choices[label] }}","{{ context }}
Domanda: {{ question }}
La risposta alla domanda precedente:
|||
{{ answer_choices[label] }}"
7,no_prompt_text,multiple-choice question answering,cosmos_qa.yaml,"{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}"
8,context_description_question_answer_id,multiple-choice question answering,cosmos_qa.yaml,"{{ context }}
According to the above context, choose the best option to answer the following question.
Question: {{ question }}
Options:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
In base al contesto in alto, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
Secondo il contesto sopra, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
Secondo il contesto sopra, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
Secondo il contesto sopra, scegli l'opzione migliore per rispondere alla seguente domanda.
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
In base al contesto precedente, scegli l'opzione migliore per rispondere alla domanda seguente.
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
In base al contesto sopra indicato, scegli la risposta migliore per rispondere alla domanda seguente.
Domanda: {{ question }}
Opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}"
9,context_question_description_answer_id,multiple-choice question answering,cosmos_qa.yaml,"{{ context }}
{{ question }}
Pick the best answer from the following options:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore dalle seguenti opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la migliore risposta tra le seguenti opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
A. {{ answer0 }}
B. {{ answer1 }}
C. {{ answer2 }}
D. {{ answer3 }}
|||
{{ answer_choices[label] }}"
